"","curDur","wp","mu_r","sig_r","predY","NSub","exp","model","group","ver"
"1",0.4,0.977657512038842,0.594926173579523,0.0925300800754549,0.594401460460486,1,"Exp1","baseline","short","linear"
"2",0.41,0.977657512038842,0.595149598459135,0.0928066226994537,0.595104542537401,1,"Exp1","baseline","short","linear"
"3",0.42,0.977657512038842,0.595373023338747,0.0930739602356397,0.594791075219522,1,"Exp1","baseline","short","linear"
"4",0.43,0.977657512038842,0.595596448218358,0.093332338082359,0.595379343076913,1,"Exp1","baseline","short","linear"
"5",0.44,0.977657512038842,0.59581987309797,0.0935820085655825,0.594686803152418,1,"Exp1","baseline","short","linear"
"6",0.45,0.977657512038842,0.596043297977581,0.0938232284691798,0.59503430920166,1,"Exp1","baseline","short","linear"
"7",0.46,0.977657512038842,0.596266722857193,0.0940562569196535,0.596330591502341,1,"Exp1","baseline","short","linear"
"8",0.47,0.977657512038842,0.596490147736804,0.0942813535857247,0.596346089617968,1,"Exp1","baseline","short","linear"
"9",0.48,0.977657512038842,0.596713572616416,0.0944987771564541,0.597458005855157,1,"Exp1","baseline","short","linear"
"10",0.49,0.977657512038842,0.596936997496028,0.0947087840648272,0.596867601883734,1,"Exp1","baseline","short","linear"
"11",0.5,0.977657512038842,0.597160422375639,0.0949116274268597,0.597273341895985,1,"Exp1","baseline","short","linear"
"12",0.51,0.977657512038842,0.597383847255251,0.0951075561692495,0.596765837470115,1,"Exp1","baseline","short","linear"
"13",0.52,0.977657512038842,0.597607272134862,0.0952968143213886,0.598641670666805,1,"Exp1","baseline","short","linear"
"14",0.53,0.977657512038842,0.597830697014474,0.0954796404501333,0.597455754278579,1,"Exp1","baseline","short","linear"
"15",0.54,0.977657512038842,0.598054121894085,0.0956562672181137,0.597665908330151,1,"Exp1","baseline","short","linear"
"16",0.55,0.977657512038842,0.598277546773697,0.0958269210485395,0.598368995247487,1,"Exp1","baseline","short","linear"
"17",0.56,0.977657512038842,0.598500971653309,0.0959918218814361,0.59879032941758,1,"Exp1","baseline","short","linear"
"18",0.57,0.977657512038842,0.59872439653292,0.0961511830080334,0.599288370337035,1,"Exp1","baseline","short","linear"
"19",0.58,0.977657512038842,0.598947821412532,0.0963052109716381,0.598086334029369,1,"Exp1","baseline","short","linear"
"20",0.59,0.977657512038842,0.599171246292143,0.0964541055247589,0.599294941239347,1,"Exp1","baseline","short","linear"
"21",0.6,0.977657512038842,0.599394671171755,0.0965980596335431,0.598885192828596,1,"Exp1","baseline","short","linear"
"22",0.61,0.977657512038842,0.599618096051366,0.0967372595217274,0.599250842411938,1,"Exp1","baseline","short","linear"
"23",0.62,0.977657512038842,0.599841520930978,0.0968718847473193,0.599449911885164,1,"Exp1","baseline","short","linear"
"24",0.63,0.977657512038842,0.60006494581059,0.0970021083061293,0.59901096465762,1,"Exp1","baseline","short","linear"
"25",0.64,0.977657512038842,0.600288370690201,0.0971280967570623,0.600698357745188,1,"Exp1","baseline","short","linear"
"26",0.65,0.977657512038842,0.600511795569813,0.0972500103647806,0.600712725618865,1,"Exp1","baseline","short","linear"
"27",0.66,0.977657512038842,0.600735220449424,0.0973680032559629,0.600699398212015,1,"Exp1","baseline","short","linear"
"28",0.67,0.977657512038842,0.600958645329036,0.0974822235859219,0.600396131325099,1,"Exp1","baseline","short","linear"
"29",0.68,0.977657512038842,0.601182070208647,0.0975928137128182,0.60152194786946,1,"Exp1","baseline","short","linear"
"30",0.69,0.977657512038842,0.601405495088259,0.0976999103771163,0.60077619163001,1,"Exp1","baseline","short","linear"
"31",0.7,0.977657512038842,0.601628919967871,0.0978036448842922,0.601402718056739,1,"Exp1","baseline","short","linear"
"32",0.71,0.977657512038842,0.601852344847482,0.0979041432891095,0.601673935242535,1,"Exp1","baseline","short","linear"
"33",0.72,0.977657512038842,0.602075769727094,0.0980015265800602,0.602157742679757,1,"Exp1","baseline","short","linear"
"34",0.73,0.977657512038842,0.602299194606705,0.0980959108627932,0.601208857408915,1,"Exp1","baseline","short","linear"
"35",0.74,0.977657512038842,0.602522619486317,0.0981874075415658,0.602092058652405,1,"Exp1","baseline","short","linear"
"36",0.75,0.977657512038842,0.602746044365928,0.0982761234979226,0.602083618331281,1,"Exp1","baseline","short","linear"
"37",0.76,0.977657512038842,0.60296946924554,0.0983621612659626,0.603028873642798,1,"Exp1","baseline","short","linear"
"38",0.77,0.977657512038842,0.603192894125152,0.098445619203683,0.602317926569002,1,"Exp1","baseline","short","linear"
"39",0.78,0.977657512038842,0.603416319004763,0.0985265916600004,0.603380349022071,1,"Exp1","baseline","short","linear"
"40",0.79,0.977657512038842,0.603639743884375,0.0986051691371462,0.604292141875829,1,"Exp1","baseline","short","linear"
"41",0.8,0.977657512038842,0.603863168763986,0.0986814384482126,0.604109896516128,1,"Exp1","baseline","short","linear"
"42",0.4,0.977964645997206,0.55200955333712,0.0708301436126695,0.551897965757099,2,"Exp1","baseline","short","linear"
"43",0.41,0.977964645997206,0.552229906877148,0.0711116643788967,0.553013647214104,2,"Exp1","baseline","short","linear"
"44",0.42,0.977964645997206,0.552450260417175,0.071384987321266,0.552120221518968,2,"Exp1","baseline","short","linear"
"45",0.43,0.977964645997206,0.552670613957203,0.0716502532173306,0.552779566353392,2,"Exp1","baseline","short","linear"
"46",0.44,0.977964645997206,0.552890967497231,0.0719076167230988,0.55262400075814,2,"Exp1","baseline","short","linear"
