"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"1",1,0.4,"Exp1","mixed","LGM",0.514868710868739,0.092815525644971,0.960755795255063,0.0106061287850518,0.557163621691904,0.432230249523045,"all"
"2",1,0.41,"Exp1","mixed","LGM",0.521513402920303,0.093082770545959,0.950098140736168,0.0108315550546963,0.569014743766492,0.420153701178812,"all"
"3",1,0.42,"Exp1","mixed","LGM",0.527846850773252,0.0933408247842979,0.949270865073964,0.0110498371721942,0.580490638617546,0.40845952421026,"all"
"4",1,0.43,"Exp1","mixed","LGM",0.533881933099767,0.0935899438462359,0.952890483722827,0.0112611282015683,0.591599319367882,0.39713955243055,"all"
"5",1,0.44,"Exp1","mixed","LGM",0.539631291773971,0.0938303900427422,0.949971734835487,0.0114655915041875,0.602349342597237,0.386185065898575,"all"
"6",1,0.45,"Exp1","mixed","LGM",0.545107284941442,0.0940624299017058,0.950758482991259,0.0116633983807307,0.612749684355498,0.375586917263771,"all"
"7",1,0.46,"Exp1","mixed","LGM",0.550321949905104,0.0942863319418905,0.941399916002849,0.0118547260067981,0.622809631590499,0.365335642402703,"all"
"8",1,0.47,"Exp1","mixed","LGM",0.555286974537897,0.0945023647860595,0.944430442940763,0.0120397556352722,0.632538687581756,0.355421556782972,"all"
"9",1,0.48,"Exp1","mixed","LGM",0.560013676054858,0.0947107955740036,0.940901305354444,0.0122186710396728,0.641946490030354,0.345834838929973,"all"
"10",1,0.49,"Exp1","mixed","LGM",0.564512986095597,0.0949118886395645,0.939546150723361,0.0123916571741386,0.651042740527922,0.336565602297939,"all"
"11",1,0.5,"Exp1","mixed","LGM",0.568795441180771,0.095105904419043,0.939784703682607,0.0125588990272353,0.659837144209046,0.327603956763719,"all"
"12",1,0.51,"Exp1","mixed","LGM",0.572871177711755,0.0952930985615636,0.931061259964219,0.0127205806484354,0.668339358477563,0.318940060874002,"all"
"13",1,0.52,"Exp1","mixed","LGM",0.576749930780498,0.0954737212149796,0.92912697068216,0.0128768843277937,0.676558949784924,0.310564165887282,"all"
"14",1,0.53,"Exp1","mixed","LGM",0.580441036146306,0.0956480164637236,0.922526625787926,0.0130279899110033,0.684505357525735,0.302466652563262,"all"
