"","id","trialnum","NSub","targetDur","RP","Exp","group","model","mu_r","sig_r","predY","log_lik","W_P_G","W_L","W_Ds","part"
"1",1,341,1,0.565685424949238,0.526007140657384,"Exp1","mixed","LGM",0.592214828024058,0.096221946550458,0.592097114974552,0.925053991018103,0.0135274850390985,0.710774221658037,0.275698293302864,"all"
"2",2,342,1,1.2,1.19783450840987,"Exp1","mixed","LGM",1.31121215186875,0.188069734939759,1.30997557073302,0.251774716843287,0.131045585855305,0.270641286578326,0.598313127566369,"all"
"3",3,343,1,0.8,0.717920096783928,"Exp1","mixed","LGM",0.633919540740871,0.0986664920062514,0.633626125240496,0.898364034343495,0.0156880602748679,0.824421738727928,0.159890200997204,"all"
"4",4,344,1,1.69705627484772,1.47795791490353,"Exp1","mixed","LGM",1.57105229182163,0.218644776412078,1.57071844390857,0.104432957640508,0.186420013211872,0.386432371092691,0.427147615695437,"all"
"5",5,345,1,0.672717132202972,0.773946270903252,"Exp1","mixed","LGM",0.617242969984413,0.0975725598473763,0.617664454631321,0.907839798909335,0.0147145841181068,0.773212089964956,0.212073325916937,"all"
"6",6,346,1,0.8,0.829871990645188,"Exp1","mixed","LGM",0.633919540740871,0.0986664920062514,0.634102067301109,0.896440045056476,0.0156880602748679,0.824421738727928,0.159890200997204,"all"
"7",7,347,1,0.672717132202972,0.56597492061519,"Exp1","mixed","LGM",0.617242969984413,0.0975725598473763,0.617148982919417,0.90494687800915,0.0147145841181068,0.773212089964956,0.212073325916937,"all"
"8",8,349,1,2.01815139660892,1.24593473886489,"Exp1","mixed","LGM",1.66402945131658,0.231848709162074,1.66329410529534,0.0378423661147716,0.212785243667793,0.441856100908943,0.345358655423264,"all"
"9",9,350,1,1.69705627484772,0.941986539735808,"Exp1","mixed","LGM",1.57105229182163,0.218644776412078,1.57130780414618,0.099484593646761,0.186420013211872,0.386432371092691,0.427147615695437,"all"
"10",10,351,1,0.565685424949238,0.653942476650627,"Exp1","mixed","LGM",0.592214828024058,0.096221946550458,0.59167420081032,0.921353551557933,0.0135274850390985,0.710774221658037,0.275698293302864,"all"
"11",11,352,1,2.4,1.30997300482886,"Exp1","mixed","LGM",1.72808875698263,0.243120093139145,1.72695149721238,-0.00793758181431298,0.236449943630902,0.491762366933845,0.271787689435253,"all"
"12",12,353,1,1.2,1.34996815316299,"Exp1","mixed","LGM",1.31121215186875,0.188069734939759,1.30993010926778,0.254853719618151,0.131045585855305,0.270641286578326,0.598313127566369,"all"
"13",13,354,1,0.475682846001088,0.589955215385999,"Exp1","mixed","LGM",0.558001610990787,0.094621728297592,0.558253456227314,0.940049843855566,0.0121421686799271,0.637923783139316,0.349934048180757,"all"
"14",14,355,1,0.4,0.421965018240371,"Exp1","mixed","LGM",0.514868710868739,0.092815525644971,0.515406538235277,0.958079278685614,0.0106061287850518,0.557163621691904,0.432230249523045,"all"
"15",15,356,1,1.2,1.10980506252781,"Exp1","mixed","LGM",1.31121215186875,0.188069734939759,1.30995953527726,0.251838179182758,0.131045585855305,0.270641286578326,0.598313127566369,"all"
"16",16,357,1,0.475682846001088,0.677874254755807,"Exp1","mixed","LGM",0.558001610990787,0.094621728297592,0.557873045881571,0.93659004362295,0.0121421686799271,0.637923783139316,0.349934048180757,"all"
"17",17,358,1,0.8,0.845924786728574,"Exp1","mixed","LGM",0.633919540740871,0.0986664920062514,0.63491941734777,0.896481748430324,0.0156880602748679,0.824421738727928,0.159890200997204,"all"
"18",18,359,1,1.42704853800327,1.02194853501533,"Exp1","mixed","LGM",1.45135893588292,0.203856695225131,1.45161995510501,0.173326276690627,0.158642172587841,0.328242818726722,0.513115008685436,"all"
"19",19,360,1,2.01815139660892,1.8299500527155,"Exp1","mixed","LGM",1.66402945131658,0.231848709162074,1.66382038749564,0.0489705009047399,0.212785243667793,0.441856100908943,0.345358655423264,"all"
"20",20,361,1,2.4,2.0058994709816,"Exp1","mixed","LGM",1.72808875698263,0.243120093139145,1.7277249070044,-0.00198311302366701,0.236449943630902,0.491762366933845,0.271787689435253,"all"
"21",21,363,1,1.42704853800327,1.67002015307662,"Exp1","mixed","LGM",1.45135893588292,0.203856695225131,1.45074190134921,0.171645583347324,0.158642172587841,0.328242818726722,0.513115008685436,"all"
"22",22,364,1,0.8,0.790006220084251,"Exp1","mixed","LGM",0.633919540740871,0.0986664920062514,0.633905802861656,0.896059059360035,0.0156880602748679,0.824421738727928,0.159890200997204,"all"
"23",23,365,1,1.2,0.909894631755378,"Exp1","mixed","LGM",1.31121215186875,0.188069734939759,1.31192060834963,0.251532441162037,0.131045585855305,0.270641286578326,0.598313127566369,"all"
"24",24,366,1,2.01815139660892,1.62989500496042,"Exp1","mixed","LGM",1.66402945131658,0.231848709162074,1.66389507535567,0.0322903999502428,0.212785243667793,0.441856100908943,0.345358655423264,"all"
"25",25,367,1,0.475682846001088,0.501850506469054,"Exp1","mixed","LGM",0.558001610990787,0.094621728297592,0.558119737849404,0.945752908278145,0.0121421686799271,0.637923783139316,0.349934048180757,"all"
"26",26,368,1,0.475682846001088,0.413932400113481,"Exp1","mixed","LGM",0.558001610990787,0.094621728297592,0.55744050461966,0.937733132303134,0.0121421686799271,0.637923783139316,0.349934048180757,"all"
"27",27,369,1,0.4,0.429897181989872,"Exp1","mixed","LGM",0.514868710868739,0.092815525644971,0.514672401339999,0.957106141994759,0.0106061287850518,0.557163621691904,0.432230249523045,"all"
"28",28,370,1,2.4,1.34202914731941,"Exp1","mixed","LGM",1.72808875698263,0.243120093139145,1.7275551049786,-0.00904037953744109,0.236449943630902,0.491762366933845,0.271787689435253,"all"
"29",29,373,1,0.4,0.605839136154827,"Exp1","mixed","LGM",0.514868710868739,0.092815525644971,0.514158623526227,0.961134559140572,0.0106061287850518,0.557163621691904,0.432230249523045,"all"
"30",30,374,1,0.4,0.397849747620057,"Exp1","mixed","LGM",0.514868710868739,0.092815525644971,0.51463879333513,0.963000591972554,0.0106061287850518,0.557163621691904,0.432230249523045,"all"
"31",31,375,1,0.565685424949238,0.69388786430136,"Exp1","mixed","LGM",0.592214828024058,0.096221946550458,0.592040611900062,0.918809178451423,0.0135274850390985,0.710774221658037,0.275698293302864,"all"
"32",32,376,1,1.42704853800327,1.58189647290055,"Exp1","mixed","LGM",1.45135893588292,0.203856695225131,1.45009628638217,0.168852782015692,0.158642172587841,0.328242818726722,0.513115008685436,"all"
"33",33,377,1,1.69705627484772,1.8699427130141,"Exp1","mixed","LGM",1.57105229182163,0.218644776412078,1.57179739108928,0.0996110515204753,0.186420013211872,0.386432371092691,0.427147615695437,"all"
