"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"1",1,"Exp1","LGM","linear",0,0.768013293333926,0.232001414477817,30.2053868370168,60.0201441883642,-15.1026934185084,7.073338194624,0.816515658271995,-21.9664432253052,33.9342291572032,6.83237395180069,0.131715734652365,10.9832216126526,0,0,0,0,"part1"
"2",1,"Exp1","LGM","linear",0,0.769920868265332,0.283068164333202,29.5664920877338,62.4409314139323,-14.7832460438669,7.0894641293602,0.854026060352007,-24.8132093866694,35.2510806767307,6.99015297758104,0.125412974276028,12.4066046933347,0,0,0,0,"part2"
"3",2,"Exp1","LGM","linear",0,1.79199471780961,1.28858246057028,3.99506602382041,59.9087649674339,-1.99753301191021,8.51563162343553,0.856202244666779,-47.7229384149702,34.0497627480386,8.16253888408709,0.131409902615646,23.8614692074851,0,0,0,0,"part1"
"4",2,"Exp1","LGM","linear",0,1.68110759989659,0.0537365069842756,-13.1682365202146,61.1973136358422,6.58411826010731,6.25099449935159,0.853318892920195,-65.198728213744,35.1820677890775,6.28909929336634,0.116161819626957,32.599364106872,0,0,0,0,"part2"
"5",3,"Exp1","LGM","linear",0,0.862555305139884,0.315378792344739,32.7029242173075,59.7909855356429,-16.3514621086537,7.28697637585171,0.932040609483314,-18.719682277393,34.0796822882927,6.78916790104407,0.129226928216987,9.35984113869648,0,0,0,0,"part1"
"6",3,"Exp1","LGM","linear",0,0.959836331812137,0.986285490609219,40.6415684881989,61.9373129247831,-20.3207842440995,7.58475851905487,0.861019459612363,-13.9388399583799,34.6471087014937,7.47059832167408,0.122615873175394,6.96941997918993,0,0,0,0,"part2"
"7",4,"Exp1","LGM","linear",0,1.92112048846224,0.951670461432676,16.5371550066222,60.2259503993426,-8.26857750331109,7.68976851981582,0.767890129767624,-34.8043878361923,34.5551789779354,7.68356813762698,0.118855310305918,17.4021939180961,0,0,0,0,"part1"
"8",4,"Exp1","LGM","linear",0,1.64024250248865,1.24997926114636,14.0963310400794,62.78895778547,-7.04816552003972,8.0290492610551,0.868996110594322,-40.588902665893,35.4463409324838,7.85317418484037,0.118982691522097,20.2944513329465,0,0,0,0,"part2"
"9",5,"Exp1","LGM","linear",0,1.80058548553761,1.00750978163197,50.9027682593649,55.1981600310013,-25.4513841296825,8.3632251327383,0.697903844260189,3.48944106399497,31.4914964333163,8.01010586919521,0.10231486565768,-1.74472053199748,0,0,0,0,"part1"
"10",5,"Exp1","LGM","linear",0,1.62957476603274,1.02486894075727,44.7217043673126,57.3615246380436,-22.3608521836563,8.47952169955448,0.78021225507793,-4.75683004440333,32.6222574321856,8.34084444786077,0.134072260157862,2.37841502220166,0,0,0,0,"part2"
"11",6,"Exp1","LGM","linear",0,1.45637774007527,0.0223464647408859,-28.7728664465866,61.7722756471512,14.3864332232933,6.63385581834029,0.88402848596374,-82.7185963157958,34.7994107125466,6.41544295020353,0.135207787084686,41.3592981578979,0,0,0,0,"part1"
"12",6,"Exp1","LGM","linear",0,1.10339218718399,0.456949873522975,5.01572825502658,62.2232980789537,-2.50786412751329,10.6864416158533,0.954762072266327,-49.0528736028344,35.1889971500233,10.5024639974555,0.134376350431465,24.5264368014172,0,0,0,0,"part2"
