"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"1",1,"Exp1","LGM","log",0,0.805147315246654,0.106637791938048,34.3879063172554,64.1051921540988,-17.1939531586277,6.43981818987067,0.657694688733995,-25.5951493838918,34.1136643035252,6.39397973068613,0.0639357426097797,12.7975746919459,0,0,0,0,"part1"
"2",1,"Exp1","LGM","log",0,0.878928311770892,0.111190535986728,30.8336784851724,65.578804113825,-15.4168392425862,6.38800066222181,0.788132923377158,-30.2450670706877,35.0394313358949,6.32427757808327,0.0800090324715851,15.1225335353438,0,0,0,0,"part2"
"3",2,"Exp1","LGM","log",0,1.62195350916809,2.41078277805084,12.8315341182602,64.2146953481824,-6.41576705913012,8.48682585624397,0.773523119387884,-47.580865725495,34.0084954263048,8.41951417188416,0.085002431328983,23.7904328627475,0,0,0,0,"part1"
"4",2,"Exp1","LGM","log",0,1.75340934196608,0.200831130682184,7.59801506065295,65.022352295144,-3.79900753032647,7.68020961543125,0.685725917411708,-52.5762741301207,34.9352076997573,7.55393836198606,0.066503956729548,26.2881370650603,0,0,0,0,"part2"
"5",3,"Exp1","LGM","log",0,1.06771223763783,0.556685008192258,41.2827661324109,64.1655211061777,-20.6413830662054,6.78726889052639,0.771423817171783,-18.6791395614673,34.1845682592386,6.40033965110292,0.0758221539263637,9.33956978073367,0,0,0,0,"part1"
"6",3,"Exp1","LGM","log",0,1.01208732596259,2.08967097012718,45.2060078938865,64.0396053818015,-22.6030039469432,7.12320263695928,0.689336350904378,-13.8363623634465,34.518420253135,7.17578347338135,0.0687079987164837,6.91818118172325,0,0,0,0,"part2"
"7",4,"Exp1","LGM","log",0,2.07607435064112,1.09370912728593,27.8739615962807,65.5738200831536,-13.9369807981404,8.05998173343657,0.975424974283662,-34.3705702299546,34.451554170036,7.7844356032134,0.0794652398331645,17.1852851149773,0,0,0,0,"part1"
"8",4,"Exp1","LGM","log",0,1.67723597331827,1.82426977686045,21.6699318764525,66.4840135763886,-10.8349659382263,8.00255230268511,0.784379335028404,-40.2275974390076,35.5352489186586,7.89629253693742,0.0750210931753629,20.1137987195038,0,0,0,0,"part2"
"9",5,"Exp1","LGM","log",0,2.15825491300295,0.806368513360343,62.8716301087732,58.8098887340696,-31.4358150543866,7.7620507705615,0.685206053646484,8.14923180447599,31.448689581921,7.45604904875718,0.0685301697148456,-4.07461590223799,0,0,0,0,"part1"
"10",5,"Exp1","LGM","log",0,2.06797217551962,0.690329436013274,56.7943824123158,60.9857663245943,-28.3971912061579,8.03620435104717,0.895822035601745,-0.0928327999088926,32.542158718482,7.63664313549311,0.069595326217727,0.0464163999544463,0,0,0,0,"part2"
"11",6,"Exp1","LGM","log",0,1.41449317461433,0.0377650116548314,-11.0264513838801,64.0970902849809,5.51322569194003,7.42241887932017,0.780275888723255,-70.0674976204891,34.5765671666763,7.29408225585991,0.0737686013190308,35.0337488102446,0,0,0,0,"part1"
"12",6,"Exp1","LGM","log",0,1.44384387753481,0.0664435272300327,-2.12038840776658,65.0218691950468,1.06019420388329,8.68846143278562,0.629635698901177,-62.1879812910087,34.9880727534258,8.45921193611415,0.0700378104421337,31.0939906455044,0,0,0,0,"part2"
"13",7,"Exp1","LGM","log",0,2.24378229745391,0.758624780356591,4.27227322221561,62.7639637810156,-2.1361366111078,7.82490138889321,0.740683567635862,-54.3006629978211,33.4774956709972,7.62488539578306,0.077067397716505,27.1503314989106,0,0,0,0,"part1"
"14",7,"Exp1","LGM","log",0,2.25740736449816,0.392986869284847,10.8479982918262,64.8122049556608,-5.4239991459131,7.39648226149883,0.801076377386384,-49.9284279127458,34.4239918533748,7.48467305631662,0.0784003078516538,24.9642139563729,0,0,0,0,"part2"
"15",8,"Exp1","LGM","log",0,1.44812605551199,0.0550337367004277,14.7916212231501,62.3761251480017,-7.39581061157503,6.88083292989255,0.795808341868805,-42.8193750914638,33.5706269906948,6.56139531235685,0.077213677397355,21.4096875457319,0,0,0,0,"part1"
"16",8,"Exp1","LGM","log",0,1.15998461249907,0.046571275686024,12.7615015024172,64.6247218460272,-6.38075075120862,7.11301671621365,0.668428287186834,-48.3768550172737,34.0555435861817,6.95088937650778,0.0651795597779679,24.1884275086368,0,0,0,0,"part2"
