"","Nsub","Exp","model","m_mu_p_g","m_sig2_p_g","m_mu_p_s_IR","m_mu_p_l_IR","m_sig_pr2_l_IR"
"1",1,"Exp1","DIM",0.922801400554561,0,0,0,0
"2",1,"Exp1","IP",0,0.127555524501258,0.743265821415966,1.22435910403944,0.0856351504015963
"3",1,"Exp1","LGM",0.854542018739136,0,0,0,0
"4",1,"Exp1","PIM",0.853747664227694,0,0,0,0
"5",1,"Exp2","DIM",0.814704814859243,0,0,0,0
"6",1,"Exp2","IP",0,0.75593827118988,0.678779174846551,1.21402743580956,0.103971756524629
"7",1,"Exp2","LGM",0.842481118754449,0,0,0,0
"8",1,"Exp2","PIM",0.838546095050972,0,0,0,0
"9",2,"Exp1","DIM",1.73356104468829,0,0,0,0
"10",2,"Exp1","IP",0,0.343434073491438,0.779732541529273,1.38058778263216,0.156504225312843
"11",2,"Exp1","LGM",2.07450326957987,0,0,0,0
"12",2,"Exp1","PIM",2.07220856635009,0,0,0,0
"13",2,"Exp2","DIM",1.0223806779069,0,0,0,0
"14",2,"Exp2","IP",0,0.00525954713859417,0.653738648814217,1.42588770043571,0.0873844957259882
"15",2,"Exp2","LGM",0.903616419865861,0,0,0,0
"16",2,"Exp2","PIM",0.908947948142186,0,0,0,0
"17",3,"Exp1","DIM",0.844327886051594,0,0,0,0
"18",3,"Exp1","IP",0,0.0254037873702104,0.647916366202985,1.13455310026431,0.0860181289829335
"19",3,"Exp1","LGM",1.04322629882539,0,0,0,0
"20",3,"Exp1","PIM",1.04134381655261,0,0,0,0
"21",3,"Exp2","DIM",0.965851235606988,0,0,0,0
"22",3,"Exp2","IP",0,0.0272203687534957,0.705944347541495,1.06433549308971,0.0831350789896387
"23",3,"Exp2","LGM",1.03616242018851,0,0,0,0
"24",3,"Exp2","PIM",1.03504938476979,0,0,0,0
"25",4,"Exp1","DIM",1.89400151555055,0,0,0,0
"26",4,"Exp1","IP",0,0.0516374529584796,0.576403046295368,1.49045163236626,0.910234155833044
"27",4,"Exp1","LGM",2.13029333211757,0,0,0,0
"28",4,"Exp1","PIM",2.13070119674163,0,0,0,0
"29",4,"Exp2","DIM",2.27460800639599,0,0,0,0
"30",4,"Exp2","IP",0,0.0162205707544782,0.65965350733489,1.78284446972131,0.19296096044826
"31",4,"Exp2","LGM",2.18753777388029,0,0,0,0
"32",4,"Exp2","PIM",2.18675304694276,0,0,0,0
"33",5,"Exp1","DIM",1.62329305798372,0,0,0,0
"34",5,"Exp1","IP",0,0.0738062122466908,0.964232343295568,1.21857548040184,0.2674382283599
"35",5,"Exp1","LGM",2.09646715200914,0,0,0,0
"36",5,"Exp1","PIM",2.09527433789289,0,0,0,0
"37",5,"Exp2","DIM",1.71765165701025,0,0,0,0
"38",5,"Exp2","IP",0,0.477141935259382,0.647304270678441,1.50493434053214,0.115546730403802
"39",5,"Exp2","LGM",1.82165742203309,0,0,0,0
"40",5,"Exp2","PIM",1.82310657389362,0,0,0,0
"41",6,"Exp1","DIM",1.36748024436832,0,0,0,0
"42",6,"Exp1","IP",0,0.0470183440703175,0.900327627176525,1.23165055073204,0.0749679837087953
"43",6,"Exp1","LGM",1.42546792533108,0,0,0,0
"44",6,"Exp1","PIM",1.42564568142862,0,0,0,0
"45",6,"Exp2","DIM",1.44861447933881,0,0,0,0
"46",6,"Exp2","IP",0,0.0527711202029494,0.983183368722151,1.3570786609019,0.0938802262506784
"47",6,"Exp2","LGM",1.4827716515874,0,0,0,0
"48",6,"Exp2","PIM",1.48309005723115,0,0,0,0
"49",7,"Exp1","DIM",2.24550550075559,0,0,0,0
