"","X","Age","Gender","Order","Loc","Name","Exp"
"1",1,26,"M",2,2,"Sub1","Exp1"
"2",2,25,"F",1,2,"Sub2","Exp1"
"3",3,23,"F",2,1,"Sub3","Exp1"
"4",4,23,"F",1,1,"Sub4","Exp1"
"5",5,30,"F",1,2,"Sub5","Exp1"
"6",6,23,"F",1,1,"Sub6","Exp1"
"7",7,36,"F",1,2,"Sub7","Exp1"
"8",8,34,"F",1,2,"Sub8","Exp1"
"9",9,27,"M",2,2,"Sub9","Exp1"
"10",10,21,"F",2,2,"Sub10","Exp1"
"11",11,24,"F",1,1,"Sub11","Exp1"
"12",12,22,"F",1,1,"Sub12","Exp1"
"13",13,22,"F",2,1,"Sub13","Exp1"
"14",14,25,"F",2,1,"Sub14","Exp1"
"15",15,23,"M",2,1,"Sub15","Exp1"
"16",16,24,"F",2,2,"Sub16","Exp1"
"17",1,26,"M",2,2,"Sub1","Exp2"
"18",2,23,"F",2,2,"Sub2","Exp2"
"19",3,29,"M",1,1,"Sub3","Exp2"
"20",4,22,"M",1,2,"Sub4","Exp2"
"21",5,26,"M",1,1,"Sub5","Exp2"
"22",6,23,"M",1,2,"Sub6","Exp2"
"23",7,27,"M",2,1,"Sub7","Exp2"
"24",8,24,"F",2,1,"Sub8","Exp2"
"25",9,21,"M",2,2,"Sub9","Exp2"
"26",10,23,"F",2,1,"Sub10","Exp2"
"27",11,24,"M",1,2,"Sub11","Exp2"
"28",12,24,"F",1,1,"Sub12","Exp2"
"29",13,24,"M",1,2,"Sub13","Exp2"
"30",14,26,"M",2,1,"Sub14","Exp2"
"31",15,25,"M",1,1,"Sub15","Exp2"
"32",16,31,"F",2,2,"Sub16","Exp2"
