"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,1,7,0.475682846001088,0.516049375037028,0.733604041811532,11,1,"Exp1",0,0.257921195810444,0,"1","1"
"2",2,1,9,0.672717132202972,0.699941220194205,0.621907171447447,11,2,"Exp1",0,-0.050809960755525,0,"1","1"
"3",3,1,9,0.672717132202972,0.68283100961321,0.669987808632868,11,3,"Exp1",0,-0.00272932357010403,0,"1","1"
"4",4,1,4,0.672717132202972,0.68306115276846,0.613837232808464,11,4,"Exp1",0,-0.058879899394508,0,"1","1"
"5",5,1,5,0.8,0.816433465302907,0.693709036850805,11,5,"Exp1",0,-0.106290963149195,0,"1","1"
"6",6,1,8,0.565685424949238,0.583116511527351,0.405885786793988,11,6,"Exp1",0,-0.15979963815525,0,"1","1"
"7",7,1,10,0.8,0.816490690087448,0.621889444204271,11,7,"Exp1",0,-0.178110555795729,0,"1","1"
"8",8,1,2,0.475682846001088,0.483207946781022,0.533911936032609,11,8,"Exp1",0,0.058229090031521,0,"1","1"
"9",9,1,1,0.4,0.416560044038306,0.565942576172802,11,9,"Exp1",0,0.165942576172802,0,"1","1"
"10",10,1,4,0.672717132202972,0.683144812915316,0.57391579248565,11,10,"Exp1",0,-0.0988013397173221,0,"1","1"
"11",11,1,7,0.475682846001088,0.483214477870433,0.50968128283057,11,11,"Exp1",0,0.033998436829482,0,"1","1"
"12",12,1,3,0.565685424949238,0.583127085672459,0.581812812753697,11,12,"Exp1",0,0.016127387804459,0,"1","1"
"13",13,1,5,0.8,0.816403608893552,0.629888473871006,11,13,"Exp1",0,-0.170111526128994,0,"1","1"
"14",14,1,10,0.8,0.816437508358376,0.725937786706936,11,14,"Exp1",0,-0.0740622132930641,0,"1","1"
"15",15,1,8,0.565685424949238,0.583096918258661,0.581844224184124,11,15,"Exp1",0,0.0161587992348859,0,"1","1"
"16",16,1,6,0.4,0.41622571445464,0.397920656592305,11,16,"Exp1",0,-0.002079343407695,0,"1","1"
"17",17,1,10,0.8,0.816488824061707,0.653871878683276,11,17,"Exp1",0,-0.146128121316724,0,"1","1"
"18",18,1,3,0.565685424949238,0.583185554474085,0.59797757037245,11,18,"Exp1",0,0.032292145423212,0,"1","1"
"19",19,1,10,0.8,0.816817866573047,0.67788700593087,11,19,"Exp1",0,-0.12211299406913,0,"1","1"
"20",20,1,2,0.475682846001088,0.483187420499462,0.597852857662701,11,20,"Exp1",0,0.122170011661613,0,"1","1"
"21",21,1,7,0.475682846001088,0.483206080755281,0.477985283278258,11,21,"Exp1",0,0.00230243727717,0,"1","1"
"22",22,1,9,0.672717132202972,0.683077324990109,0.637933843173187,11,22,"Exp1",0,-0.034783289029785,0,"1","1"
"23",23,1,9,0.672717132202972,0.683174669324671,0.61394390727105,11,23,"Exp1",0,-0.0587732249319221,0,"1","1"
"24",24,1,4,0.672717132202972,0.683192396567847,0.621894731276825,11,24,"Exp1",1,-0.050822400926147,1,"1","1"
"25",25,1,5,0.8,0.81647047481033,0.493934514942111,11,25,"Exp1",1,-0.306065485057889,1,"1","1"
"26",26,1,8,0.565685424949238,0.583134238770526,0.581947166595683,11,26,"Exp1",1,0.016261741646445,1,"1","1"
"27",27,1,10,0.8,0.816346384108783,0.693908079579614,11,27,"Exp1",1,-0.106091920420386,1,"1","1"
"28",28,1,2,0.475682846001088,0.483137970821645,0.493885998277165,11,28,"Exp1",1,0.018203152276077,1,"1","1"
"29",29,1,1,0.4,0.41644372844371,0.453884007849638,11,29,"Exp1",1,0.053884007849638,1,"1","1"
"30",30,1,4,0.672717132202972,0.683130195714966,0.509954033569784,11,30,"Exp1",1,-0.162763098633188,1,"1","1"
"31",31,1,7,0.475682846001088,0.483185243469734,0.549938918762564,11,31,"Exp1",1,0.0742560727614759,1,"1","1"
"32",32,1,3,0.565685424949238,0.590676403173347,0.542006444008393,11,32,"Exp1",1,-0.023678980940845,1,"1","1"
"33",33,1,5,0.8,0.816410761991619,0.717853852876488,11,33,"Exp1",1,-0.0821461471235121,1,"1","1"
"34",34,1,10,0.8,0.816381216586478,0.677896336058893,11,34,"Exp1",1,-0.122103663941107,1,"1","1"
"35",35,1,8,0.565685424949238,0.583181200414401,0.637889680567469,11,35,"Exp1",1,0.072204255618231,1,"1","1"
"36",36,1,6,0.4,0.416567819144802,0.557890364776767,11,36,"Exp1",1,0.157890364776767,1,"1","1"
"37",37,1,10,0.8,0.816402986884896,0.597887690140169,11,37,"Exp1",1,-0.202112309859831,1,"1","1"
"38",38,1,3,0.565685424949238,0.583152588021903,0.533840716056147,11,38,"Exp1",1,-0.031844708893091,1,"1","1"
"39",39,1,10,0.8,0.816420092119415,0.621961286189162,11,39,"Exp1",1,-0.178038713810838,1,"1","1"
"40",40,1,2,0.475682846001088,0.48324122423719,0.357965005800224,11,40,"Exp1",1,-0.117717840200864,1,"1","1"
"41",41,1,2,0.475682846001088,0.483346032674035,0.397881159050712,11,41,"Exp1",1,-0.077801686950376,1,"1","1"
"42",42,1,7,0.475682846001088,0.483254286416241,0.517921651805864,11,42,"Exp1",1,0.042238805804776,1,"1","1"
"43",43,1,9,0.672717132202972,0.683184621461123,0.541827927560917,11,43,"Exp1",1,-0.130889204642055,1,"1","1"
"44",44,1,1,0.4,0.416507173313448,0.549941406796734,11,44,"Exp1",1,0.149941406796734,1,"1","1"
"45",45,1,3,0.565685424949238,0.583224741011236,0.565884729379604,11,45,"Exp1",1,0.000199304430365976,1,"1","1"
"46",46,1,6,0.4,0.416559111025435,0.42187762604226,11,46,"Exp1",1,0.02187762604226,1,"1","1"
"47",47,1,9,0.672717132202972,0.683037827448516,0.461999353111196,11,47,"Exp1",1,-0.210717779091776,1,"1","1"
"48",48,1,5,0.8,0.816371264450027,0.60592715036114,11,48,"Exp1",2,-0.19407284963886,1,"1","1"
"49",49,1,1,0.4,0.416598608567028,0.413937998190022,11,49,"Exp1",2,0.013937998190022,1,"1","1"
"50",50,1,5,0.8,0.816463321712263,0.581898338926294,11,50,"Exp1",2,-0.218101661073706,1,"1","1"
"51",51,1,4,0.672717132202972,0.683114334497532,0.581919176211841,11,51,"Exp1",2,-0.0907979559911311,1,"1","1"
"52",52,1,2,0.475682846001088,0.483237492185935,0.5259452508094,11,52,"Exp1",2,0.050262404808312,1,"1","1"
"53",53,1,1,0.4,0.416408895966015,0.525980705295297,11,53,"Exp1",2,0.125980705295297,1,"1","1"
"54",54,1,4,0.672717132202972,0.683422850727311,0.613931156096214,11,54,"Exp1",2,-0.0587859761067581,1,"1","1"
"55",55,1,7,0.475682846001088,0.483236248169078,0.493944467078563,11,55,"Exp1",2,0.018261621077475,1,"1","1"
"56",56,1,3,0.565685424949238,0.583093186207634,0.501838066300024,11,56,"Exp1",2,-0.063847358649214,1,"1","1"
"57",57,1,8,0.565685424949238,0.5832119898364,0.533937438382281,11,57,"Exp1",2,-0.031747986566957,1,"1","1"
"58",58,1,6,0.4,0.416537029722576,0.493909323596881,11,58,"Exp1",2,0.093909323596881,1,"1","1"
"59",59,1,8,0.565685424949238,0.583165339196967,0.613993978957296,11,59,"Exp1",2,0.048308554008058,1,"1","1"
