"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,2,8,1.69705627484772,1.72828664542067,0.942659505153642,13,1,"Exp1",0,-0.754396769694078,0,"1","2"
"2",2,2,2,1.42704853800327,1.44646079885388,1.19755488614283,13,2,"Exp1",0,-0.22949365186044,0,"1","2"
"3",3,2,1,1.2,1.21089223242052,0.63803483454285,13,3,"Exp1",0,-0.56196516545715,0,"1","2"
"4",4,2,5,2.4,2.41063447521265,2.72568472511739,13,4,"Exp1",0,0.32568472511739,0,"1","2"
"5",5,2,3,1.69705627484772,1.70500577061466,1.33768610969128,13,5,"Exp1",0,-0.35937016515644,0,"1","2"
"6",6,2,7,1.42704853800327,1.43457156105796,1.76529499174103,13,6,"Exp1",0,0.33824645373776,0,"1","2"
"7",7,2,4,2.01815139660892,2.0343649323313,2.3498145068661,13,7,"Exp1",0,0.33166311025718,0,"1","2"
"8",8,2,5,2.4,2.41081547749855,3.01375670555899,13,8,"Exp1",0,0.61375670555899,0,"1","2"
"9",9,2,1,1.2,1.21121598393256,1.00589523513008,13,9,"Exp1",0,-0.19410476486992,0,"1","2"
"10",10,2,6,1.2,1.21119545789952,0.957952332331843,13,10,"Exp1",0,-0.242047667668157,0,"1","2"
"11",11,2,6,1.2,1.21115036282936,1.06195556176135,13,11,"Exp1",0,-0.13804443823865,0,"1","2"
"12",12,2,8,1.69705627484772,1.70512985980895,2.02740278513375,13,12,"Exp1",0,0.33034651028603,0,"1","2"
"13",13,2,4,2.01815139660892,2.03432419126693,1.6778357444673,13,13,"Exp1",0,-0.34031565214162,0,"1","2"
"14",14,2,8,1.69705627484772,1.70507947773149,2.0340899177063,13,14,"Exp1",0,0.33703364285858,0,"1","2"
"15",15,2,5,2.4,2.41059871015568,2.51782723549331,13,15,"Exp1",0,0.11782723549331,0,"1","2"
"16",16,2,9,2.01815139660892,2.03434098529397,2.02983418697841,13,16,"Exp1",0,0.0116827903694898,0,"1","2"
"17",17,2,7,1.42704853800327,1.43455881003683,0.301980143240144,13,17,"Exp1",0,-1.12506839476313,0,"1","2"
"18",18,2,7,1.42704853800327,1.43465055518391,1.55783651574893,13,18,"Exp1",0,0.13078797774566,0,"1","2"
"19",19,2,2,1.42704853800327,1.43460857011632,1.54987676916426,13,19,"Exp1",0,0.12282823116099,0,"1","2"
"20",20,2,2,1.42704853800327,1.43462940714926,1.20578364815447,13,20,"Exp1",0,-0.2212648898488,0,"1","2"
"21",21,2,8,1.69705627484772,1.70506330570424,1.67784227547781,13,21,"Exp1",0,-0.0192139993699101,0,"1","2"
"22",22,2,2,1.42704853800327,1.43456036503994,1.54188405652894,13,22,"Exp1",0,0.11483551852567,0,"1","2"
