"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,2,5,2.4,2.4227748422436,1.51752605438196,9,1,"Exp1",0,-0.88247394561804,0,"2","2"
"2",2,2,10,2.4,2.42283020100149,2.81375699370801,9,2,"Exp1",0,0.41375699370801,0,"2","2"
"3",3,2,7,1.42704853800327,1.44631973104333,1.79796886225267,9,3,"Exp1",0,0.3709203242494,0,"2","2"
"4",4,2,2,1.42704853800327,1.44661860614178,1.50989805280187,9,4,"Exp1",0,0.0828495147985999,0,"2","2"
"5",5,2,10,2.4,2.4110139050008,2.40571877750517,9,5,"Exp1",0,0.00571877750516991,0,"2","2"
"6",6,2,8,1.69705627484772,1.71713446891408,1.77393911780564,9,6,"Exp1",0,0.07688284295792,0,"2","2"
"7",7,2,9,2.01815139660892,2.03468941559186,1.70986633036591,9,7,"Exp1",0,-0.30828506624301,0,"2","2"
"8",8,2,4,2.01815139660892,2.03470465480132,1.74996037805613,9,8,"Exp1",0,-0.26819101855279,0,"2","2"
"9",9,2,9,2.01815139660892,2.03475814753438,2.3498082969727,9,9,"Exp1",0,0.33165690036378,0,"2","2"
"10",10,2,7,1.42704853800327,1.44670817537008,1.62187669303057,9,10,"Exp1",0,0.1948281550273,0,"2","2"
"11",11,2,5,2.4,2.41113146461066,2.48600515023099,9,11,"Exp1",0,0.08600515023099,0,"2","2"
"12",12,2,6,1.2,1.21145086599063,0.773862921760156,9,12,"Exp1",0,-0.426137078239844,0,"2","2"
"13",13,2,2,1.42704853800327,1.44658843872821,1.71794466612118,9,13,"Exp1",0,0.29089612811791,0,"2","2"
"14",14,2,2,1.42704853800327,1.44661269706012,1.60595327471856,9,14,"Exp1",0,0.17890473671529,0,"2","2"
"15",15,2,5,2.4,2.41095979025886,2.14987920594285,9,15,"Exp1",0,-0.25012079405715,0,"2","2"
"16",16,2,4,2.01815139660892,2.03470589881726,1.67786150358006,9,16,"Exp1",0,-0.34028989302886,0,"2","2"
"17",17,2,4,2.01815139660892,2.03470123375519,1.71791138866502,9,17,"Exp1",0,-0.3002400079439,0,"2","2"
"18",18,2,1,1.2,1.21146268415396,1.44585138972252,9,18,"Exp1",0,0.24585138972252,0,"2","2"
"19",19,2,3,1.69705627484772,1.71708999530347,1.32581214098536,9,19,"Exp1",0,-0.37124413386236,0,"2","2"
"20",20,2,8,1.69705627484772,1.71710181346498,1.24589493031999,9,20,"Exp1",0,-0.45116134452773,0,"2","2"
"21",21,2,5,2.4,2.41109476610836,2.25392008434574,9,21,"Exp1",0,-0.14607991565426,0,"2","2"
"22",22,2,10,2.4,2.41104842647474,1.86977756975102,9,22,"Exp1",0,-0.53022243024898,0,"2","2"
"23",23,2,7,1.42704853800327,1.44659403680453,1.31784607777081,9,23,"Exp1",0,-0.10920246023246,0,"2","2"
"24",24,2,2,1.42704853800327,1.44667987398134,1.63791300588855,9,24,"Exp1",1,0.21086446788528,1,"2","2"
"25",25,2,10,2.4,2.41102074709488,1.70189684610705,9,25,"Exp1",1,-0.69810315389295,1,"2","2"
"26",26,2,8,1.69705627484772,1.71713975598686,1.5580085463971,9,26,"Exp1",1,-0.13904772845062,1,"2","2"
"27",27,2,9,2.01815139660892,2.03468537253684,1.56597678664184,9,27,"Exp1",1,-0.45217460996708,1,"2","2"
"28",28,2,4,2.01815139660892,2.03474477434975,1.64587471504092,9,28,"Exp1",1,-0.372276681568,1,"2","2"
"29",29,2,9,2.01815139660892,2.03470278877649,1.93420334702751,9,29,"Exp1",1,-0.08394804958141,1,"2","2"
"30",30,2,7,1.42704853800327,1.44665374962278,1.3591225636701,9,30,"Exp1",1,-0.0679259743331699,1,"2","2"
"31",31,2,5,2.4,2.41115136888584,1.88588012651599,9,31,"Exp1",1,-0.51411987348401,1,"2","2"
"32",32,2,6,1.2,1.21134512454228,1.23789341261727,9,32,"Exp1",1,0.0378934126172701,1,"2","2"
"33",33,2,2,1.42704853800327,1.44664970656777,1.45989665328307,9,33,"Exp1",1,0.0328481152797999,1,"2","2"
"34",34,2,2,1.42704853800327,1.44652157281052,1.36667312518875,9,34,"Exp1",1,-0.06037541281452,1,"2","2"
"35",35,2,5,2.4,2.41106584271256,2.73042837727189,9,35,"Exp1",1,0.33042837727189,1,"2","2"
"36",36,2,4,2.01815139660892,2.03472393706579,2.04595899719789,9,36,"Exp1",1,0.0278076005889702,1,"2","2"
"37",37,2,4,2.01815139660892,2.03468786057056,1.77857712439254,9,37,"Exp1",1,-0.23957427221638,1,"2","2"
