"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,2,3,1.60005476290647,1.63411476353576,0.501724874036881,10,1,"Exp2",0,-1.09832988886959,0,"1","2"
"2",2,2,6,1.31,1.32883481488716,1.1202774839694,10,2,"Exp2",0,-0.1897225160306,0,"1","2"
"3",3,2,4,1.76834346805288,1.77530991976528,0.597976727211062,10,3,"Exp2",0,-1.17036674084182,0,"1","2"
"4",4,2,6,1.31,1.31694588809114,1.09385737019875,10,4,"Exp2",0,-0.21614262980125,0,"1","2"
"5",5,2,9,1.76834346805288,1.77558204519482,1.38967917189257,10,5,"Exp2",0,-0.37866429616031,0,"1","2"
"6",6,2,3,1.60005476290647,1.61098627896899,1.62186560798,10,6,"Exp2",0,0.0218108450735299,0,"1","2"
"7",7,2,10,1.954332247557,1.9638377958272,1.90983558025982,10,7,"Exp2",0,-0.04449666729718,0,"1","2"
"8",8,2,2,1.44778166151097,1.45818738339403,1.21390542599511,10,8,"Exp2",0,-0.23387623551586,0,"1","2"
"9",9,2,9,1.76834346805288,1.77566321632366,1.42986634442786,10,9,"Exp2",0,-0.33847712362502,0,"1","2"
"10",10,2,7,1.44778166151097,1.45807262421295,1.09395004834369,10,10,"Exp2",0,-0.35383161316728,0,"1","2"
"11",11,2,1,1.31,1.31701928420807,1.30992060779317,10,11,"Exp2",0,-7.93922068300645e-05,0,"1","2"
"12",12,2,2,1.44778166151097,1.45821257443458,1.37393072899431,10,12,"Exp2",0,-0.0738509325166601,0,"1","2"
"13",13,2,8,1.60005476290647,1.61096419793466,1.5498963621958,10,13,"Exp2",0,-0.0501584007106701,0,"1","2"
"14",14,2,8,1.60005476290647,1.61099871898841,1.21389733998149,10,14,"Exp2",0,-0.38615742292498,0,"1","2"
"15",15,2,2,1.44778166151097,1.45808008822496,1.44585674570953,10,15,"Exp2",0,-0.00192491580144005,0,"1","2"
"16",16,2,6,1.31,1.31702115021108,1.61385765631894,10,16,"Exp2",0,0.30385765631894,0,"1","2"
"17",17,2,5,1.954332247557,1.96389190991249,2.02188874641615,10,17,"Exp2",0,0.0675564988591499,0,"1","2"
"18",18,2,1,1.31,1.31706500127984,1.46990579172962,10,18,"Exp2",0,0.15990579172962,0,"1","2"
"19",19,2,5,1.954332247557,1.96374262967765,1.75784373096212,10,19,"Exp2",0,-0.19648851659488,0,"1","2"
"20",20,2,7,1.44778166151097,1.45813078130595,1.13389712850221,10,20,"Exp2",0,-0.31388453300876,0,"1","2"
"21",21,2,3,1.60005476290647,1.61102950803797,1.26188938085579,10,21,"Exp2",0,-0.33816538205068,0,"1","2"
"22",22,2,6,1.31,1.31703918823769,1.12591125787549,10,22,"Exp2",0,-0.18408874212451,0,"1","2"
