"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,1,6,0.4912,0.528986841409505,0.885570055265362,3,1,"Exp2",0,0.394370055265362,0,"1","1"
"2",2,1,3,0.599959465297448,0.622800033588419,0.211490705637516,3,2,"Exp2",0,-0.388468759659932,0,"1","1"
"3",3,1,2,0.542862864224572,0.552409194529901,0.549753249217019,3,3,"Exp2",0,0.00689038499244699,0,"1","1"
"4",4,1,9,0.663061306494331,0.670252442160972,0.403691962716948,3,4,"Exp2",0,-0.259369343777383,0,"1","1"
"5",5,1,1,0.4912,0.505678937858193,0.573734165995347,3,5,"Exp2",0,0.082534165995347,0,"1","1"
"6",6,1,2,0.542862864224572,0.552669194094506,0.381945611574338,3,6,"Exp2",0,-0.160917252650234,0,"1","1"
"7",7,1,1,0.4912,0.505704440207865,0.357890053772508,3,7,"Exp2",0,-0.133309946227492,0,"1","1"
"8",8,1,7,0.542862864224572,0.552681634265127,0.26192502309209,3,8,"Exp2",0,-0.280937841132482,0,"1","1"
"9",9,1,8,0.599959465297448,0.611496272613977,0.405991839247918,3,9,"Exp2",0,-0.19396762604953,0,"1","1"
"10",10,1,6,0.4912,0.505596521728421,0.509901473849141,3,10,"Exp2",0,0.0187014738491409,0,"1","1"
"11",11,1,7,0.542862864224572,0.552667639073206,0.485926155147581,3,11,"Exp2",0,-0.056936709076991,0,"1","1"
"12",12,1,7,0.542862864224572,0.552715844734166,0.365962169441445,3,12,"Exp2",0,-0.176900694783127,0,"1","1"
"13",13,1,8,0.599959465297448,0.611435937786837,0.637966187616257,3,13,"Exp2",0,0.038006722318809,0,"1","1"
"14",14,1,9,0.663061306494331,0.670253686178057,0.565937600104462,3,14,"Exp2",0,-0.097123706389869,0,"1","1"
"15",15,1,5,0.7328,0.741223304171626,0.429931081455152,3,15,"Exp2",0,-0.302868918544848,0,"1","1"
"16",16,1,7,0.542862864224572,0.552737926037025,0.565921427882813,3,16,"Exp2",0,0.023058563658241,0,"1","1"
"17",17,1,4,0.663061306494331,0.67039674813941,0.501897468114294,3,17,"Exp2",0,-0.161163838380037,0,"1","1"
"18",18,1,4,0.663061306494331,0.670352585533919,0.621941070912044,3,18,"Exp2",0,-0.0411202355822871,0,"1","1"
"19",19,1,4,0.663061306494331,0.670291317693909,0.645905193460067,3,19,"Exp2",0,-0.017156113034264,0,"1","1"
"20",20,1,10,0.7328,0.740726941366347,0.605926528352711,3,20,"Exp2",0,-0.126873471647289,0,"1","1"
"21",21,1,6,0.4912,0.505684224930746,0.488337060201047,3,21,"Exp2",0,-0.00286293979895302,0,"1","1"
"22",22,1,3,0.599959465297448,0.611907420250645,1.01962657718036,3,22,"Exp2",0,0.419667111882912,0,"1","1"
"23",23,1,2,0.542862864224572,0.552753165245804,0.317985096675557,3,23,"Exp2",0,-0.224877767549015,0,"1","1"
"24",24,1,9,0.663061306494331,0.669966007233597,0.533958275667374,3,24,"Exp2",1,-0.129103030826957,1,"1","1"
"25",25,1,1,0.4912,0.505638507303956,0.325951159889883,3,25,"Exp2",1,-0.165248840110117,1,"1","1"
"26",26,1,2,0.542862864224572,0.552679768239614,0.509920445109401,3,26,"Exp2",1,-0.0329424191151709,1,"1","1"
"27",27,1,1,0.4912,0.505592478672952,0.517946221142211,3,27,"Exp2",1,0.026746221142211,1,"1","1"
"28",28,1,7,0.542862864224572,0.552646801787887,0.365939155125488,3,28,"Exp2",1,-0.176923709099084,1,"1","1"
"29",29,1,8,0.599959465297448,0.61100923993672,0.573998208615649,3,29,"Exp2",1,-0.025961256681799,1,"1","1"
"30",30,1,6,0.4912,0.505554536152431,0.557966871825556,3,30,"Exp2",1,0.066766871825556,1,"1","1"
"31",31,1,7,0.542862864224572,0.552665151039491,0.565948796257999,3,31,"Exp2",1,0.023085932033427,1,"1","1"
"32",32,1,7,0.542862864224572,0.55994607186085,0.41391964893819,3,32,"Exp2",1,-0.128943215286382,1,"1","1"
"33",33,1,8,0.599959465297448,0.611444023897548,0.429963114894235,3,33,"Exp2",1,-0.169996350403213,1,"1","1"
"34",34,1,9,0.663061306494331,0.670252131156758,0.949874851884033,3,34,"Exp2",1,0.286813545389702,1,"1","1"
"35",35,1,5,0.7328,0.740820864654324,0.621883224118847,3,35,"Exp2",1,-0.110916775881153,1,"1","1"
"36",36,1,7,0.542862864224572,0.552707136614572,0.957896895865815,3,36,"Exp2",1,0.415034031641243,1,"1","1"
"37",37,1,4,0.663061306494331,0.670265193335581,0.461861889226384,3,37,"Exp2",1,-0.201199417267947,1,"1","1"
"38",38,1,4,0.663061306494331,0.670142657656015,0.357886010716811,3,38,"Exp2",1,-0.30517529577752,1,"1","1"
"39",39,1,4,0.663061306494331,0.670324906154747,0.453884940862281,3,39,"Exp2",1,-0.20917636563205,1,"1","1"
"40",40,1,10,0.7328,0.741281150964369,0.573866342807378,3,40,"Exp2",1,-0.158933657192622,1,"1","1"
"41",41,1,1,0.4912,0.505613004954284,0.413975940709861,3,41,"Exp2",1,-0.077224059290139,1,"1","1"
"42",42,1,8,0.599959465297448,0.61158117677769,0.94187520020887,3,42,"Exp2",1,0.341915734911422,1,"1","1"
"43",43,1,9,0.663061306494331,0.670312776988339,0.565921116878144,3,43,"Exp2",1,-0.0971401896161871,1,"1","1"
"44",44,1,8,0.599959465297448,0.611489430520123,0.677960091932619,3,44,"Exp2",1,0.0780006266351709,1,"1","1"
"45",45,1,9,0.663061306494331,0.670397059143397,0.661892989652642,3,45,"Exp2",1,-0.00116831684168905,1,"1","1"
"46",46,1,6,0.4912,0.505581282519415,0.541966946466346,3,46,"Exp2",1,0.050766946466346,1,"1","1"
"47",47,1,6,0.4912,0.5055862585873,0.429873856670383,3,47,"Exp2",1,-0.061326143329617,1,"1","1"
"48",48,1,2,0.542862864224572,0.552674170162845,0.629908378143682,3,48,"Exp2",2,0.08704551391911,1,"1","1"
"49",49,1,5,0.7328,0.740760840831172,0.621972171338257,3,49,"Exp2",2,-0.110827828661743,1,"1","1"
"50",50,1,10,0.7328,0.740874357387383,0.661981936872508,3,50,"Exp2",2,-0.0708180631274921,1,"1","1"
"51",51,1,1,0.4912,0.493843981601003,0.413946706309162,3,51,"Exp2",2,-0.077253293690838,1,"1","1"
"52",52,1,3,0.599959465297448,0.611438425820779,0.693812601270565,3,52,"Exp2",2,0.093853135973117,1,"1","1"
"53",53,1,5,0.7328,0.740846678007983,0.567383769931439,3,53,"Exp2",2,-0.165416230068561,1,"1","1"
"54",54,1,10,0.7328,0.740731295426031,0.589917583869919,3,54,"Exp2",2,-0.142882416130081,1,"1","1"
"55",55,1,5,0.7328,0.740380171611832,0.749956957009545,3,55,"Exp2",2,0.017156957009545,1,"1","1"
"56",56,1,3,0.599959465297448,0.611470770264077,0.565856738995535,3,56,"Exp2",2,-0.034102726301913,1,"1","1"
"57",57,1,3,0.599959465297448,0.611513066844509,0.582865873191167,3,57,"Exp2",2,-0.017093592106281,1,"1","1"
"58",58,1,2,0.542862864224572,0.552681012256926,0.525899533182383,3,58,"Exp2",2,-0.0169633310421889,1,"1","1"
"59",59,1,4,0.663061306494331,0.670240935003221,0.581855731341875,3,59,"Exp2",2,-0.0812055751524561,1,"1","1"
"60",60,1,10,0.7328,0.740860984204119,0.717859761957243,3,60,"Exp2",2,-0.014940238042757,1,"1","1"
"61",61,1,1,0.4912,0.505748602813128,0.429880387759567,3,61,"Exp2",2,-0.061319612240433,1,"1","1"
"62",62,1,1,0.4912,0.505673650785411,0.381945611573883,3,62,"Exp2",2,-0.109254388426117,1,"1","1"
"63",63,1,9,0.663061306494331,0.670265815344464,0.66990756953237,3,63,"Exp2",2,0.00684626303803892,1,"1","1"
"64",64,1,8,0.599959465297448,0.611488808511695,0.597885513109759,3,64,"Exp2",2,-0.00207395218768902,1,"1","1"
"65",65,1,4,0.663061306494331,0.670306556902688,0.589893636541547,3,65,"Exp2",2,-0.073167669952784,1,"1","1"
"66",66,1,10,0.7328,0.740688687842066,0.63789030257567,3,66,"Exp2",2,-0.09490969742433,1,"1","1"
"67",67,1,5,0.7328,0.740710769144698,0.57399261053888,3,67,"Exp2",2,-0.15880738946112,1,"1","1"
"68",68,1,10,0.7328,0.740857563157078,0.66991845468192,3,68,"Exp2",2,-0.06288154531808,1,"1","1"
"69",69,1,6,0.4912,0.505764153026576,0.669882689191581,3,69,"Exp2",2,0.178682689191581,1,"1","1"
"70",70,1,4,0.663061306494331,0.67021729867929,0.517973589517624,3,70,"Exp2",2,-0.145087716976707,1,"1","1"
"71",71,1,10,0.7328,0.740884309523608,0.725990035423365,3,71,"Exp2",2,-0.00680996457663496,1,"1","1"
"72",72,1,6,0.4912,0.505662143627887,0.573958400069387,3,72,"Exp2",3,0.082758400069387,1,"1","1"
"73",73,1,8,0.599959465297448,0.61149129654541,0.453903601117872,3,73,"Exp2",3,-0.146055864179576,1,"1","1"
"74",74,1,7,0.542862864224572,0.552673237149975,0.49319245876859,3,74,"Exp2",3,-0.0496704054559819,1,"1","1"
"75",75,1,5,0.7328,0.741044476719708,0.533897629836702,3,75,"Exp2",3,-0.198902370163298,1,"1","1"
"76",76,1,5,0.7328,0.740886175549349,0.59786312080314,3,76,"Exp2",3,-0.13493687919686,1,"1","1"
"77",77,1,8,0.599959465297448,0.611419454560746,0.533923754194348,3,77,"Exp2",3,-0.0660357111031,1,"1","1"
"78",78,1,3,0.599959465297448,0.611506224749974,0.757929551313737,3,78,"Exp2",3,0.157970086016289,1,"1","1"
"79",79,1,9,0.663061306494331,0.670294427736735,0.621905305421933,3,79,"Exp2",3,-0.041156001072398,1,"1","1"
"80",80,1,4,0.663061306494331,0.670297226774892,0.709881258571841,3,80,"Exp2",3,0.04681995207751,1,"1","1"
"81",81,1,6,0.4912,0.505682047900791,0.477953871847149,3,81,"Exp2",3,-0.013246128152851,1,"1","1"
"82",82,1,8,0.599959465297448,0.611453976034227,0.757953187638122,3,82,"Exp2",3,0.157993722340674,1,"1","1"
"83",83,1,2,0.542862864224572,0.552751921228719,0.517932847958946,3,83,"Exp2",3,-0.024930016265626,1,"1","1"
"84",84,1,9,0.663061306494331,0.670257107225098,0.597916613536199,3,84,"Exp2",3,-0.0651446929581321,1,"1","1"
"85",85,1,4,0.663061306494331,0.670285408612926,0.677933656570076,3,85,"Exp2",3,0.0148723500757449,1,"1","1"
"86",86,1,3,0.599959465297448,0.611460507123866,0.77395684504836,3,86,"Exp2",3,0.173997379750912,1,"1","1"
"87",87,1,7,0.542862864224572,0.55269594046149,0.501926391510551,3,87,"Exp2",3,-0.040936472714021,1,"1","1"
"88",88,1,5,0.7328,0.740834548841576,0.717963015372789,3,88,"Exp2",3,-0.0148369846272111,1,"1","1"
"89",89,1,2,0.542862864224572,0.552716777746809,0.526035442045668,3,89,"Exp2",3,-0.016827422178904,1,"1","1"
"90",90,1,10,0.7328,0.740838591897045,0.59796544120627,3,90,"Exp2",3,-0.13483455879373,1,"1","1"
