"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,1,3,0.471404520791032,0.482069100005901,0.441624200015212,2,1,"Exp3",0,-0.02978032077582,0,"2","1"
"2",2,1,6,0.333333333333333,0.341403899990837,0.472933800003375,2,2,"Exp3",0,0.139600466670042,0,"2","1"
"3",3,1,3,0.471404520791032,0.481548199997633,0.621893800009275,2,3,"Exp3",0,0.150489279218243,0,"2","1"
"4",4,1,10,0.666666666666667,0.670007900000201,0.508371800009627,2,4,"Exp3",0,-0.15829486665704,0,"2","1"
"5",5,1,5,0.666666666666667,0.669992100010859,0.507723000002443,2,5,"Exp3",0,-0.158943666664224,0,"2","1"
"6",6,1,8,0.471404520791032,0.482115000006161,0.507777800012263,2,6,"Exp3",0,0.036373279221231,0,"2","1"
"7",7,1,10,0.666666666666667,0.670110300008673,0.611281100005726,2,7,"Exp3",0,-0.055385566660941,0,"2","1"
"8",8,1,6,0.333333333333333,0.341159200004768,0.247985600013635,2,8,"Exp3",0,-0.085347733319698,0,"2","1"
"9",9,1,3,0.471404520791032,0.482119899999816,0.449775799992494,2,9,"Exp3",0,-0.021628720798538,0,"2","1"
"10",10,1,2,0.396402371667573,0.400325900001917,0.463862999997218,2,10,"Exp3",0,0.067460628329645,0,"2","1"
"11",11,1,2,0.396402371667573,0.399879799995688,0.426865800007363,2,11,"Exp3",0,0.03046342833979,0,"2","1"
"12",12,1,4,0.560597610169143,0.56453689999762,0.479341500016744,2,12,"Exp3",0,-0.081256110152399,0,"2","1"
"13",13,1,3,0.471404520791032,0.482111200006329,0.810062800010201,2,13,"Exp3",0,0.338658279219169,0,"2","1"
"14",14,1,8,0.471404520791032,0.482153000004473,0.449765700002899,2,14,"Exp3",0,-0.021638820788133,0,"2","1"
"15",15,1,7,0.396402371667573,0.399824100008118,0.469971600003191,2,15,"Exp3",0,0.073569228335618,0,"2","1"
"16",16,1,9,0.560597610169143,0.564994400003343,0.464877400008845,2,16,"Exp3",0,-0.095720210160298,0,"2","1"
"17",17,1,7,0.396402371667573,0.399476099992171,0.491905000002589,2,17,"Exp3",0,0.095502628335016,0,"2","1"
"18",18,1,8,0.471404520791032,0.482523500002571,0.491702200000873,2,18,"Exp3",0,0.020297679209841,0,"2","1"
"19",19,1,9,0.560597610169143,0.564036800002214,0.455275400017854,2,19,"Exp3",0,-0.105322210151289,0,"2","1"
"20",20,1,7,0.396402371667573,0.399561400001403,0.611995300001581,2,20,"Exp3",0,0.215592928334008,0,"2","1"
"21",21,1,3,0.471404520791032,0.481829200012726,0.386654100002488,2,21,"Exp3",0,-0.084750420788544,0,"2","1"
"22",22,1,6,0.333333333333333,0.341034699988086,0.463908800011268,2,22,"Exp3",0,0.130575466677935,0,"2","1"
"23",23,1,3,0.471404520791032,0.482158999991952,0.336258900002576,2,23,"Exp3",0,-0.135145620788456,0,"2","1"
"24",24,1,10,0.666666666666667,0.670045799997752,0.576877600004082,2,24,"Exp3",1,-0.089789066662585,1,"2","1"
"25",25,1,5,0.666666666666667,0.670354600006249,0.587058199991588,2,25,"Exp3",1,-0.0796084666750789,1,"2","1"
"26",26,1,8,0.471404520791032,0.482209499998135,0.631892000004882,2,26,"Exp3",1,0.16048747921385,1,"2","1"
"27",27,1,10,0.666666666666667,0.670799100000295,0.534775599997374,2,27,"Exp3",1,-0.131891066669293,1,"2","1"
"28",28,1,6,0.333333333333333,0.341374099996756,0.33291779999854,2,28,"Exp3",1,-0.000415533334792995,1,"2","1"
"29",29,1,3,0.471404520791032,0.481847500006552,0.497969600008219,2,29,"Exp3",1,0.026565079217187,1,"2","1"
"30",30,1,2,0.396402371667573,0.399778800012427,0.40604160001385,2,30,"Exp3",1,0.00963922834627701,1,"2","1"
"31",31,1,2,0.396402371667573,0.399804000000586,0.418901400000323,2,31,"Exp3",1,0.02249902833275,1,"2","1"
"32",32,1,4,0.560597610169143,0.564533700002357,0.491841800001566,2,32,"Exp3",1,-0.068755810167577,1,"2","1"
"33",33,1,3,0.471404520791032,0.482559099997161,0.456918000010774,2,33,"Exp3",1,-0.014486520780258,1,"2","1"
"34",34,1,8,0.471404520791032,0.482253700000001,0.461214300012216,2,34,"Exp3",1,-0.010190220778816,1,"2","1"
"35",35,1,7,0.396402371667573,0.39949960001104,0.355902900017099,2,35,"Exp3",1,-0.040499471650474,1,"2","1"
"36",36,1,9,0.560597610169143,0.564919099997496,0.452899400013848,2,36,"Exp3",1,-0.107698210155295,1,"2","1"
"37",37,1,7,0.396402371667573,0.399775300000329,0.384532399999443,2,37,"Exp3",1,-0.01186997166813,1,"2","1"
"38",38,1,8,0.471404520791032,0.482131500000833,0.420815600009519,2,38,"Exp3",1,-0.050588920781513,1,"2","1"
"39",39,1,9,0.560597610169143,0.564067100000102,0.621624699997483,2,39,"Exp3",1,0.06102708982834,1,"2","1"
"40",40,1,7,0.396402371667573,0.399883100006264,0.355838600007701,2,40,"Exp3",1,-0.040563771659872,1,"2","1"
"41",41,1,5,0.666666666666667,0.670359499999904,0.579733300008229,2,41,"Exp3",1,-0.086933366658438,1,"2","1"
"42",42,1,10,0.666666666666667,0.670789299998432,0.537982299996656,2,42,"Exp3",1,-0.128684366670011,1,"2","1"
"43",43,1,2,0.396402371667573,0.399868599997717,0.35785919999762,2,43,"Exp3",1,-0.038543171669953,1,"2","1"
"44",44,1,1,0.333333333333333,0.34163909999188,0.399963800009573,2,44,"Exp3",1,0.06663046667624,1,"2","1"
"45",45,1,1,0.333333333333333,0.340606199999456,0.40893240000878,2,45,"Exp3",1,0.075599066675447,1,"2","1"
"46",46,1,5,0.666666666666667,0.669992600000114,0.610922899999423,2,46,"Exp3",1,-0.055743766667244,1,"2","1"
"47",47,1,6,0.333333333333333,0.340640399997937,0.35886200000823,2,47,"Exp3",1,0.025528666674897,1,"2","1"
"48",48,1,5,0.666666666666667,0.669766799997888,0.706061200005934,2,48,"Exp3",2,0.039394533339267,1,"2","1"
"49",49,1,8,0.471404520791032,0.481756100009079,0.458622400008608,2,49,"Exp3",2,-0.012782120782424,1,"2","1"
"50",50,1,2,0.396402371667573,0.399567899992689,0.309824700001627,2,50,"Exp3",2,-0.086577671665946,1,"2","1"
