"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"1",1,1,1,0.333333333333333,0.340654699946754,0.962586499983445,6,1,"Exp3",0,0.629253166650112,0,"2","1"
"2",2,1,3,0.471404520791032,0.482422499975655,0.946489699999802,6,2,"Exp3",0,0.47508517920877,0,"2","1"
"3",3,1,7,0.396402371667573,0.399670200014953,0.42501840001205,6,3,"Exp3",0,0.028616028344477,0,"2","1"
"4",4,1,2,0.396402371667573,0.399975100008305,0.322270500008017,6,4,"Exp3",0,-0.074131871659556,0,"2","1"
"5",5,1,5,0.666666666666667,0.670413999992888,0.462730799976271,6,5,"Exp3",0,-0.203935866690396,0,"2","1"
"6",6,1,3,0.471404520791032,0.48220810003113,0.615893999987748,6,6,"Exp3",0,0.144489479196716,0,"2","1"
"7",7,1,1,0.333333333333333,0.341026499983855,0.195418499992229,6,7,"Exp3",0,-0.137914833341104,0,"2","1"
"8",8,1,6,0.333333333333333,0.341125899984036,0.557367899978999,6,8,"Exp3",0,0.224034566645666,0,"2","1"
"9",9,1,10,0.666666666666667,0.670770600030664,0.605262299999595,6,9,"Exp3",0,-0.0614043666670719,0,"2","1"
"10",10,1,4,0.560597610169143,0.564902900019661,0.432968199951574,6,10,"Exp3",0,-0.127629410217569,0,"2","1"
"11",11,1,6,0.333333333333333,0.341117299976759,0.359451600001194,6,11,"Exp3",0,0.026118266667861,0,"2","1"
"12",12,1,5,0.666666666666667,0.67038580001099,0.284691500011832,6,12,"Exp3",0,-0.381975166654835,0,"2","1"
"13",13,1,7,0.396402371667573,0.399897600000259,0.286298400023952,6,13,"Exp3",0,-0.110103971643621,0,"2","1"
"14",14,1,9,0.560597610169143,0.564914100046735,0.526809600007255,6,14,"Exp3",0,-0.033788010161888,0,"2","1"
"15",15,1,3,0.471404520791032,0.482202200044412,0.39893739996478,6,15,"Exp3",0,-0.072467120826252,0,"2","1"
"16",16,1,1,0.333333333333333,0.341139099968132,0.336879699956626,6,16,"Exp3",0,0.003546366623293,0,"2","1"
"17",17,1,4,0.560597610169143,0.564546499983408,0.452547999972012,6,17,"Exp3",0,-0.108049610197131,0,"2","1"
"18",18,1,9,0.560597610169143,0.564538200036623,0.422836099984124,6,18,"Exp3",0,-0.137761510185019,0,"2","1"
"19",19,1,1,0.333333333333333,0.341052999952808,0.248943699989468,6,19,"Exp3",0,-0.084389633343865,0,"2","1"
